hour,day_of_week,avg_speed_mph,trip_count
0,0,10.01198241798118,49090
1,0,10.570908425247099,42494
2,0,11.222326121034707,29482
3,0,12.003910647934086,20917
4,0,12.781425179838434,9852
5,0,13.70599620341235,2516
6,0,14.282532758635401,3058
7,0,13.830058912478885,4758
8,0,13.234674603248418,8574
9,0,12.44332157197405,14208
10,0,11.477373182845263,21374
11,0,10.394517324504696,27892
12,0,9.461983961651208,31241
13,0,8.956545929583772,32690
14,0,8.713363707205055,33240
15,0,8.61134215213087,32040
16,0,8.491848664077237,33847
17,0,8.602384503201382,34744
18,0,8.810178078622968,33104
19,0,9.649171247888516,27026
20,0,10.260929577434771,24822
21,0,10.899573361406999,22891
22,0,11.31286553583781,18088
23,0,12.072521758280853,12575
0,1,11.38210833024846,9508
1,1,11.090300742067386,6382
2,1,11.546665578297418,4962
3,1,11.90701753037113,3942
4,1,12.831810541177733,2630
5,1,13.350784026346417,3254
6,1,12.368569781465094,7871
7,1,10.834792447120575,14902
8,1,9.187837190312678,23183
9,1,8.708175730222855,24209
10,1,8.47373447858882,24210
11,1,8.407009519163744,25333
12,1,8.51124591138299,26987
13,1,8.641552205903707,28228
14,1,8.488963496586358,29655
15,1,8.584382562922363,30324
16,1,8.779262276860834,30798
17,1,8.630588783786498,35375
18,1,9.030685760372682,37169
19,1,9.996364940764991,30366
20,1,10.494161216115174,28324
21,1,10.86035156674578,26225
22,1,11.236040152241365,18461
23,1,12.038013189414578,10645
0,2,12.541082685308485,5993
1,2,13.132903229599265,2709
2,2,12.969583118372014,1434
3,2,13.500033266158498,955
4,2,14.129410443444572,840
5,2,13.279310792553417,2882
6,2,11.993138460304406,8902
7,2,10.095826236293911,19654
8,2,8.28701217382956,30252
9,2,7.425462878717865,31245
10,2,7.103527574804139,29312
11,2,6.935356126315898,30226
12,2,7.090459009260912,30589
13,2,7.468739884347101,31818
14,2,7.551953805657623,33140
15,2,7.580077277772471,33775
16,2,7.8661704262216885,35133
17,2,7.701602594886001,43968
18,2,8.108998572395329,49912
19,2,9.232850166616482,41839
20,2,10.0286519739337,39401
21,2,10.515144727220983,40980
22,2,10.910788004758862,31413
23,2,11.665681182883688,15751
0,3,12.260408768383332,7774
1,3,13.018404263560463,3441
2,3,12.91811298912654,1997
3,3,13.276907072854437,1187
4,3,14.088626884602537,965
5,3,13.367975542163798,3028
6,3,12.163144264145537,9102
7,3,10.265032208133746,20815
8,3,8.529666643771163,32609
9,3,7.653782130985356,32664
10,3,7.1878954377185185,30384
11,3,6.904574718156148,32129
12,3,6.7197073821530235,33432
13,3,6.910093406695099,34376
14,3,7.123238641854352,36630
15,3,7.238403789894052,36560
16,3,7.302234022054876,40083
17,3,7.2068523146843795,50128
18,3,7.754149413419954,55471
19,3,8.78615870454398,47842
20,3,9.628716752089282,44373
21,3,10.202109022817705,45040
22,3,10.564243741209328,37880
23,3,11.260018482564139,21905
0,4,11.892104999485749,10725
1,4,12.6745517078618,5374
2,4,13.0563043384531,3008
3,4,13.230654240039222,1984
4,4,13.736344800832633,1476
5,4,13.533393516241357,3551
6,4,12.25416507118673,10059
7,4,10.327277828466249,21482
8,4,8.51619697327813,33286
9,4,7.578474804786373,33279
10,4,7.252085033147691,30663
11,4,6.906422538812198,32398
12,4,6.817050243138876,33933
13,4,7.1035065442953815,35161
14,4,7.1496603816078625,36616
15,4,7.293570580781524,37561
16,4,7.396187898405483,41034
17,4,7.34528715644176,50655
18,4,7.73137300985938,59001
19,4,8.537722504180737,52179
20,4,9.135876128586741,48509
21,4,9.691897706721836,49272
22,4,10.11179787030171,46187
23,4,10.693532167191277,34007
0,5,11.403031871561288,20302
1,5,12.119539043219358,11444
2,5,12.402850350027416,6473
3,5,12.758814623574482,3874
4,5,13.292661898253876,2565
5,5,13.323916323444273,3424
6,5,12.504251722016907,7970
7,5,10.79140321844705,15126
8,5,9.338642586296181,22605
9,5,8.579608474179357,25045
10,5,8.025698120144874,26522
11,5,7.663588222118787,28465
12,5,7.734399681822667,30388
13,5,8.043656843658717,31405
14,5,7.841503890941529,34746
15,5,7.782296490227224,36105
16,5,7.9933521908764575,37665
17,5,8.08423356968629,44915
18,5,8.278548394096722,50149
19,5,8.489552840424007,50344
20,5,8.680462108231715,40470
21,5,8.692073746046647,40142
22,5,8.6777059800739,43876
23,5,9.31228924393302,45045
0,6,9.979454609977713,45298
1,6,10.577155379519683,40254
2,6,11.08945173876146,29180
3,6,11.947492376601812,16937
4,6,12.723628653451263,7463
5,6,13.82420589624777,2299
6,6,13.564222797297282,3492
7,6,13.46922400621297,5472
8,6,12.579504195031559,10286
9,6,11.562522058864436,17314
10,6,10.5779229432099,24498
11,6,9.477439771988257,31076
12,6,8.709131667374237,37294
13,6,8.156790844132287,39603
14,6,7.999973944665815,39220
15,6,7.7596637093322265,41863
16,6,7.505985293978571,46172
17,6,7.27802186546791,47866
18,6,7.269634333783325,49638
19,6,7.306356509473027,50752
20,6,7.833815058587813,43585
21,6,8.202117425179459,41889
22,6,8.429549350684239,47167
23,6,9.192492473627677,50504
